epoch,Training accuracy,Training Loss,Validation accuracy,Validation Loss
1,99.69296910964943,0.02537428651351758,99.8068888030617,0.003641175338998437
2,99.82951397829326,0.0038316331320140495,99.8068888030617,0.003465081099420786
3,99.82951397829326,0.003929854383206495,99.8068888030617,0.003391614416614175
4,99.82951397829326,0.0038545571911813626,99.8068888030617,0.003524606814607978
5,99.82951397829326,0.0037690052947130484,99.8068888030617,0.0034981181379407644
6,99.82951397829326,0.0038605968076465404,99.8068888030617,0.0034827140625566244
7,99.82951397829326,0.003808356086827421,99.8068888030617,0.003396873828023672
8,99.82951397829326,0.0038183926064096142,99.8068888030617,0.003466016845777631
9,99.82951397829326,0.003793877468580186,99.8068888030617,0.003415336599573493
10,99.82951397829326,0.0038270194258744586,99.8068888030617,0.003312508575618267
11,99.82951397829326,0.0038466996343347955,99.8068888030617,0.003364574396982789
12,99.82951397829326,0.0038158118017759045,99.8068888030617,0.00336363329552114
13,99.82951397829326,0.0038887898766859813,99.8068888030617,0.0033678303007036448
14,99.82951397829326,0.0038046984657639565,99.8068888030617,0.003357671434059739
15,99.82951397829326,0.003811971765991521,99.8068888030617,0.0033690554555505514
16,99.82951397829326,0.0038047325588723155,99.8068888030617,0.003372104838490486
17,99.82951397829326,0.0038579402648773026,99.8068888030617,0.0033581906463950872
18,99.82951397829326,0.003817049303256684,99.8068888030617,0.003336462890729308
19,99.82951397829326,0.0038308779265188633,99.8068888030617,0.003373422659933567
20,99.82951397829326,0.003838249974569084,99.8068888030617,0.003366307821124792
