epoch,Training accuracy,Training Loss,Validation accuracy,Validation Loss
1,99.77684667181636,0.3194907943030717,99.8068888030617,0.3152211904525757
2,99.88842333590819,0.3143963453929205,99.9297777465679,0.31396445631980896
3,99.9383597450122,0.3138841037899944,99.9332888592395,0.31392931938171387
4,99.9383597450122,0.3138824017727037,99.9297777465679,0.31396421790122986
5,99.93796961681609,0.31388193454847785,99.9297777465679,0.31396424770355225
6,99.93796961681609,0.3138819485177352,99.9297777465679,0.31396421790122986
7,99.93757948861996,0.3138886818634617,99.9297777465679,0.3139486014842987
8,99.9383597450122,0.313880125018128,99.9297777465679,0.31396421790122986
9,99.93796961681609,0.31388209980237414,99.9332888592395,0.31392914056777954
10,99.9352387194432,0.3139172344116396,99.9297777465679,0.3139997124671936
11,99.93874987320834,0.3138779529939206,99.9297777465679,0.31396353244781494
12,99.93757948861996,0.31388989244562726,99.9297777465679,0.31396421790122986
13,99.93718936042383,0.31389167618028324,99.9297777465679,0.3139646351337433
14,99.93874987320834,0.31387415022725634,99.92626663389628,0.3139992654323578
15,99.93874987320834,0.3138768226410503,99.92626663389628,0.3139992356300354
16,99.93874987320834,0.31387422620439154,99.92626663389628,0.3139987289905548
17,99.9383597450122,0.3138786613598937,99.92626663389628,0.3139992952346802
18,99.93914000140447,0.31387025808710656,99.92626663389628,0.31399843096733093
19,99.93914000140447,0.31387026011832214,99.92626663389628,0.3139992952346802
20,99.93874987320834,0.31387569235142304,99.92626663389628,0.3139992654323578
